2025-07-03 13:02:39,0
2025-07-03 13:02:50,1
2025-07-03 13:04:00,0
2025-07-03 13:04:18,1
2025-07-03 14:09:35,0
2025-07-03 14:09:50,0
2025-07-03 14:10:08,0
2025-07-03 14:14:26,1
2025-07-03 14:14:57,0
2025-07-03 17:10:49,1
2025-07-03 17:15:06,1
2025-07-03 17:17:06,1
2025-07-04 09:30:05,1
2025-07-04 09:30:18,0
2025-07-04 09:30:30,0
2025-07-04 10:54:37,0
2025-07-04 11:37:05,1
2025-07-04 11:59:48,0
2025-07-04 12:08:44,0
2025-07-04 12:09:12,0
2025-07-04 12:11:03,1
2025-07-16 22:56:35,1
2025-07-16 22:56:44,0
2025-07-16 22:57:13,1
